id,name_en,name_ar,description_en,description_ar,category_en,category_ar
5959,Animalid**,Animalid**,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
9172,Animalis Hypo 27 TEC (Synarome) **,Animalis Hypo 27 TEC (Synarome) **,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
6322,Anise Fragrance Oil**,Anise Fragrance Oil**,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
9472,Anise Myrtle Oil,Anise Myrtle Oil,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
9295,Anise Star,Anise Star,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
6003,Anisic Aldehyde,Anisic Aldehyde,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
6004,Anisyl Acetate,Anisyl Acetate,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
9299,Anisyl Acetone,Anisyl Acetone,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
6190,Anisyl Alcohol FCC,Anisyl Alcohol FCC,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
8526,Anther (Givaudan),Anther (Givaudan),Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
9420,Apo Patchone Coeur (IFF),Apo Patchone Coeur (IFF),Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
8089,Apple Essence (Natural) w/o Acetaldehyde (Fragrance)**,Apple Essence (Natural) w/o Acetaldehyde (Fragrance)**,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
6333,Apple Fragrance Oil**,Apple Fragrance Oil**,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
9452,Applelide (IFF) **,Applelide (IFF) **,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
8416,Apprentice Fixative Base**,Apprentice Fixative Base**,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
7700,Apricot Essence (Natural) - Fragrance**,Apricot Essence (Natural) - Fragrance**,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
9290,Aprifloren® (Symrise),Aprifloren® (Symrise),Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
9327,Apritone (Bedoukian) **,Apritone (Bedoukian) **,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
8962,Aquaflora™ (IFF),Aquaflora™ (IFF),Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
8187,Aquamate® (DRT),Aquamate® (DRT),Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
6354,Arabian Sandalwood Fragrance Oil**,Arabian Sandalwood Fragrance Oil**,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
9613,Aromatic Woods **,Aromatic Woods **,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
6005,Auralva (IFF),Auralva (IFF),Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
5933,Auranone (Firmenich),Auranone (Firmenich),Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
5934,Auratouch (Firmenich),Auratouch (Firmenich),Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
8537,Aurelione® (Symrise),Aurelione® (Symrise),Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
8471,Azarbre (Givaudan),Azarbre (Givaudan),Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
9237,Bacdanol **,Bacdanol **,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
9378,Balsam Fir Needle **,Balsam Fir Needle **,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
9319,Barley Roasted Extract 40% ETH (Biolandes) **,Barley Roasted Extract 40% ETH (Biolandes) **,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
9312,Base de Parfum (Bulk)**,Base de Parfum (Bulk)**,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
9064,Base de Parfum**,Base de Parfum**,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
6392,Basil Holy (Tulsi) - India,Basil Holy (Tulsi) - India,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
6394,Basil Sweet - Vietnam,Basil Sweet - Vietnam,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
6398,Bay Leaf - India **,Bay Leaf - India **,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
6365,Bay Rum Fragrance Oil,Bay Rum Fragrance Oil,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
9191,Beard Oil Base,Beard Oil Base,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
9365,Beeswax Absolute (Robertet),خلاصة Beeswax  (Robertet) مطلقة,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
9521,Benzaldehyde 50% in BB,Benzaldehyde 50% in BB,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
7732,Benzoin (Styrax tonkinensis) 50% Alc **,Benzoin (Styrax tonkinensis) 50% Alc **,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
6400,Benzoin Essence,Benzoin Essence,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
8930,Benzoin Oliffac 63 (DEPR) IFF**,Benzoin Oliffac 63 (DEPR) IFF**,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
6399,Benzoin Resin (Pure),Benzoin Resin (Pure),Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
